EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,54,30,24,2,2,,,,,26,15,11
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,956,406,550,16,3,13,14,7,7,420,196,224
Bank of Montreal,2014,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,8,3,5,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,3,,3,,,,,,,1,,1
Bank of Montreal,2017,Provincial,Nova Scotia,,,Overall,Part-Time,15,4,11,2,,2,1,,1,3,1,2
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,4,3,1,,,,,,,1,1,
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,141,37,104,3,,3,4,1,3,45,20,25
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,3,3,,,,,,,,2,2,
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,1,,1,,,,,,,1,,1
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,42,30,12,,,,1,1,,11,9,2
Bank of Montreal,2016,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,3,,3,,,,1,,1,1,,1
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,2,,2,,,,,,,,,
Bank of Montreal,2015,National,Canada,,,Overall,Part-Time,1007,338,669,36,9,27,24,14,10,268,106,162
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,5,,5,,,,,,,1,,1
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,4,2,2,,,,,,,1,1,
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,58,40,18,,,,,,,29,16,13
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,10,4,6,,,,,,,6,3,3
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,330,186,144,4,1,3,5,5,,145,84,61
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,29,6,23,,,,3,,3,6,2,4
Bank of Montreal,2010,Provincial,British Columbia,,,Overall,Part-Time,148,30,118,5,,5,3,1,2,49,12,37
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,6,1,5,,,,,,,1,,1
