EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,41,19,22,1,,1,1,1,,25,14,11
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Supervisors,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,12,1,11,4,1,3,,,,1,,1
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,270,76,194,6,2,4,13,2,11,55,21,34
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,1,,1,1,,1,1,,1,1,,1
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,117,20,97,3,,3,2,,2,33,8,25
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,7,,7,1,,1,1,,1,1,,1
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,6,3,3,,,,,,,3,1,2
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,1,1,,1,1,,,,,,,
Bank of Montreal,2010,Provincial,British Columbia,,,Overall,Full-Time,189,72,117,4,2,2,7,1,6,72,37,35
Bank of Montreal,2012,National,Canada,,,Overall,Part-Time,779,193,586,25,4,21,20,5,15,219,69,150
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,21,13,8,1,1,,,,,9,6,3
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,43,28,15,2,,2,3,1,2,14,12,2
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,438,252,186,5,2,3,16,12,4,201,123,78
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,,1,,,,,,,1,,1
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,4,,4,1,,1,,,,,,
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Supervisors,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Supervisors,Full-Time,3,,3,,,,,,,1,,1
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,3,,3,,,,,,,,,
